age,income,loan_amount,credit_score,dpd,missed_payment_count,previous_ptp_count,collection_attempts,recent_payment_amount,days_since_last_payment,outstanding_amount,emi_amount,previous_ptp_kept_count,successful_contacts,ptp_kept_rate,contact_success_rate,outstanding_to_income,emi_to_income,payment_to_outstanding,dpd_bucket,behavior_stress_score,will_pay,ptp_kept,recovery_success
59,169804.0,993630.0,684.5197582071173,5,6,1,4,13020.0,97,433609.95822383766,31962.863616365015,0,4,0.0,1.0,0.21279924610327086,0.1882338673786543,0.030026985665487945,0,0.5597222222222222,1,0,1
46,27097.0,1269284.0,850.0,90,4,2,10,25599.0,125,709924.9970608748,29193.736217194615,0,1,0.0,0.1,2.1832828882067967,1.0773789060484413,0.03605873874843279,3,0.7483333333333333,1,0,0
27,104251.0,1067728.0,654.4431416792472,90,6,4,4,25978.0,121,722832.9648380846,33981.06010864429,2,2,0.5,0.5,0.5777985861351327,0.325954284454291,0.03593914675130941,3,0.7,0,0,0
62,144459.0,1229926.0,818.1027098346336,120,3,2,3,3687.0,29,470272.09112244385,27328.169881029895,0,0,0.0,0.0,0.2712834847733289,0.18917595913740157,0.007840142057335107,4,0.6477777777777778,0,0,0
43,122055.0,634117.0,669.0245746512971,5,0,2,8,23035.0,42,187575.30363083852,33662.630021162244,1,5,0.5,0.625,0.12806747206234792,0.2757988613425279,0.12280401286373238,0,0.21555555555555556,0,1,1
45,160646.0,344093.0,773.523401808109,180,6,1,0,10045.0,162,263777.4299249134,7553.166595402918,0,0,0.0,0.0,0.1368316204184529,0.047017458233649875,0.038081347607562176,6,1.0,1,0,0
39,92941.0,390671.0,798.7684216062719,120,3,4,4,21103.0,50,107036.11964409536,19278.47883048798,4,3,1.0,0.75,0.09597138654638908,0.20742706480980386,0.1971577451627484,4,0.46944444444444444,0,1,0
29,128581.0,937555.0,608.3935050273501,0,0,0,2,1322.0,156,702078.2671681667,37148.95775791674,0,1,0.0,0.5,0.4550168552431066,0.2889148300131181,0.0018829809464581324,0,0.39999999999999997,0,0,0
66,86001.0,821079.0,646.0501345196392,60,0,6,4,14118.0,64,484732.32714960433,38946.004989201094,0,4,0.0,1.0,0.4696964058069134,0.4528552573714386,0.029125352713772524,2,0.40888888888888886,0,0,0
59,159283.0,161870.0,607.6914542011028,120,5,3,5,18857.0,152,59410.739395865654,8181.3071460921155,1,4,0.3333333333333333,0.8,0.03108238135680186,0.05136334163779007,0.31740052710591654,4,0.7200000000000001,0,1,0
52,37350.0,346330.0,593.9038858219244,45,6,1,0,13406.0,103,133577.5062298682,16332.714281436944,0,0,0.0,0.0,0.298031026840402,0.43728820030621,0.10036120884702063,1,0.7374999999999999,1,0,0
40,59167.0,1452949.0,726.6946795367465,30,4,5,10,16551.0,17,621821.6288472319,56042.852201530775,4,10,0.8,1.0,0.8758001769669352,0.9471977994748894,0.026616957712910665,1,0.2594444444444444,1,1,1
61,33673.0,1103031.0,666.2360140825685,15,3,6,4,339.0,48,654439.097423907,28325.565278338578,0,4,0.0,1.0,1.619594079885732,0.8411951794713444,0.0005180008366468604,0,0.38583333333333336,1,0,1
47,131740.0,1144718.0,683.6656426233095,45,2,0,4,220.0,171,1012755.0069342519,47391.593695986696,0,4,0.0,1.0,0.6406273764828778,0.35973579547583645,0.0002172292395433029,1,0.5041666666666667,1,1,0
42,55702.0,335601.0,718.9367394481296,180,2,1,1,18001.0,37,130449.70759151859,5099.035021116167,1,0,1.0,0.0,0.19516011931276941,0.09154132744095664,0.13799187696431728,6,0.5988888888888888,0,0,1
43,69376.0,143121.0,549.982921639956,60,2,1,11,12479.0,40,122568.95804369326,4307.749157773677,0,11,0.0,1.0,0.14722785742871364,0.06209278652233737,0.1018120754159589,2,0.42222222222222217,1,1,1
32,153535.0,472331.0,770.0736202769938,90,1,0,10,17310.0,26,143522.56342009045,23294.678867366896,0,7,0.0,0.7,0.07789893912359312,0.15172227093084245,0.12060821370179713,3,0.4461111111111111,0,0,0
25,76349.0,1292473.0,655.5634085662058,120,0,5,5,10787.0,109,303367.4375910979,49400.18913954244,0,0,0.0,0.0,0.3311191999798053,0.6470312530556057,0.03555754066967317,4,0.6833333333333333,1,0,0
48,41624.0,784489.0,717.26809143665,120,3,1,4,158.0,145,430751.40653461893,19945.59191949348,1,0,1.0,0.0,0.8623858962269743,0.47918489139663367,0.00036680089165838105,4,0.6333333333333333,0,1,1
64,21397.0,1187705.0,723.4498987459983,30,1,2,5,21006.0,168,1047984.1594088449,60201.48034060963,1,2,0.5,0.4,4.081507374121157,2.8135477095204764,0.020044196099155955,1,0.4266666666666667,0,0,0
24,54725.0,755729.0,775.9557592534688,90,1,5,11,4111.0,159,388178.57310345734,11797.505856603739,3,6,0.6,0.5454545454545454,0.5911048775749312,0.2155779964660345,0.01059048665961358,3,0.5137878787878788,0,0,0
63,166179.0,760769.0,672.6599828551876,15,1,4,2,23548.0,159,570528.2853180699,38279.61614482644,4,0,1.0,0.0,0.28610127498965465,0.23035170596059934,0.04127402725856436,0,0.36250000000000004,1,1,0
61,106875.0,921231.0,531.3453778669948,60,5,4,8,373.0,162,464677.89749259484,41803.77650793515,1,5,0.25,0.625,0.36232194736264706,0.39114644685787275,0.0008027065673076137,2,0.6333333333333333,0,0,1
34,179162.0,1440446.0,683.9989329417492,15,4,0,10,27866.0,102,1134353.1836913072,30040.573151860754,0,7,0.0,0.7,0.5276198746066443,0.1676726825546754,0.02456554131520224,0,0.5425000000000001,0,0,0
51,52851.0,684294.0,694.0494800713121,180,3,6,9,7595.0,147,519759.3190749032,11986.21198754122,6,6,1.0,0.6666666666666666,0.819535611238676,0.22679252970693498,0.014612532611282482,6,0.6833333333333332,0,1,1
29,74939.0,913853.0,607.6017398601919,90,4,0,10,26779.0,114,607387.2559075309,48479.36729758155,0,10,0.0,1.0,0.6754240736994209,0.6469177237163767,0.044088840751174495,3,0.6583333333333333,0,0,0
58,44439.0,1383236.0,690.3243458103057,60,3,4,11,115.0,24,845928.9683182134,24457.448478122427,4,4,1.0,0.36363636363636365,1.5863111387111422,0.5503600098589624,0.0001359452203518114,2,0.3336363636363637,0,0,1
55,82537.0,589845.0,654.7287095691596,45,3,4,0,13504.0,4,317694.7169104349,31822.411887371087,2,0,0.5,0.0,0.32075989850050574,0.3855532898866095,0.042506215184582606,1,0.3713888888888889,1,1,0
38,109257.0,1267904.0,586.0072235502242,45,5,2,2,12521.0,17,1099994.4321008876,40351.249625233715,2,0,1.0,0.0,0.8389961528787535,0.3693241588661021,0.011382784889270801,1,0.39194444444444443,1,1,0
24,148916.0,825826.0,727.0039426506498,120,5,5,1,4929.0,62,469097.97373675066,24064.712455778947,0,1,0.0,1.0,0.26250703625799704,0.16159924021447625,0.010507399895029319,4,0.6877777777777778,0,0,0
68,77631.0,1324714.0,640.5392394371543,15,1,6,6,14291.0,89,533665.7327379896,54315.60626455471,4,3,0.6666666666666666,0.5,0.572865793237656,0.6996638747994322,0.026778935058617222,0,0.3602777777777778,1,1,1
42,142988.0,728329.0,651.5534549684052,120,5,0,4,6455.0,114,591157.5661885609,25376.34416799762,0,3,0.0,0.75,0.34452632749400935,0.1774718449659945,0.010919254644101189,4,0.7750000000000001,0,0,1
64,119437.0,962799.0,647.6194806899041,15,1,6,0,13112.0,93,621030.5350552672,29463.490183557333,0,0,0.0,0.0,0.4333041234118316,0.24668645548328685,0.02111329356588421,0,0.5125,1,0,0
54,65273.0,518760.0,766.4835018224903,5,0,1,6,11238.0,65,294982.3711770033,21065.012118238876,0,3,0.0,0.5,0.3766008037741528,0.32272167846182764,0.03809719189373751,0,0.3541666666666667,0,0,0
59,165777.0,970761.0,677.1358686758625,90,2,5,1,5981.0,131,642282.592448453,28154.652581442515,4,0,0.8,0.0,0.322864748250387,0.16983449200698839,0.009312100421715869,3,0.5716666666666667,1,1,1
58,88347.0,523058.0,685.5369874382075,90,2,5,4,23659.0,155,215318.9633110774,8564.629086829333,0,0,0.0,0.0,0.2030996744947738,0.0969430663953426,0.1098788496664791,3,0.6916666666666667,0,0,0
30,42460.0,933338.0,649.1554691929522,30,5,3,4,15706.0,40,434599.2654778532,44786.76102293705,1,2,0.3333333333333333,0.5,0.8529582067001358,1.0547988936160397,0.03613903944989609,1,0.46388888888888885,0,0,1
38,173957.0,1193714.0,712.4006775578433,60,4,6,10,25152.0,47,354170.25246709655,42478.99788901068,2,9,0.3333333333333333,0.9,0.16966369680778226,0.24419251820283563,0.07101669274817679,2,0.46444444444444444,1,0,0
43,165976.0,680582.0,774.452263391547,90,0,5,8,24422.0,167,538521.1300580192,28902.534449936444,1,1,0.2,0.125,0.27038102399243424,0.17413682972198657,0.04535012395403839,3,0.5825,1,0,1
45,26025.0,672389.0,725.3502572240554,120,3,3,7,7874.0,174,436510.94163387717,25555.458739094196,2,3,0.6666666666666666,0.42857142857142855,1.3977295601469009,0.9819580687452141,0.018038493996341342,4,0.6404761904761905,1,0,0
23,164203.0,517053.0,728.08068729344,180,5,1,9,8736.0,55,397198.20229895087,20458.594799198185,1,9,1.0,1.0,0.20157883955578912,0.12459330706015229,0.02199405724758255,6,0.6388888888888888,1,1,0
47,171475.0,1109177.0,722.4361144119042,120,5,3,2,28546.0,91,430408.2893519382,26351.371647206488,3,1,1.0,0.5,0.20916960166785156,0.15367471437356167,0.06632307208344303,4,0.6500000000000001,1,1,0
28,152312.0,908404.0,583.3830149682186,30,3,6,3,9377.0,104,814455.0255249314,47588.03811615563,6,0,1.0,0.0,0.44560672912887767,0.3124378782771917,0.01151322013631919,1,0.45833333333333337,0,1,0
57,59309.0,798841.0,618.6716817810603,15,4,1,9,2842.0,114,333841.7495359748,26288.98561959725,1,9,1.0,1.0,0.46907123361824626,0.4432545755213753,0.008513015534906146,0,0.36250000000000004,0,1,0
54,120268.0,87021.0,665.6508824480611,0,3,6,8,16284.0,155,36138.49603322587,4508.024680813698,1,1,0.16666666666666666,0.125,0.02504025456565467,0.037483159949560134,0.4505998253227923,0,0.5125000000000001,1,0,0
66,105195.0,209646.0,629.1895170254742,60,1,1,0,29001.0,19,182491.9361501225,9911.375427216999,0,0,0.0,0.0,0.1445663895227296,0.09421907340859355,0.15891661084763242,2,0.4422222222222222,1,0,0
57,118463.0,60811.0,605.4824082670801,60,3,4,2,7012.0,94,38998.01291318196,2663.720880147892,0,0,0.0,0.0,0.02743332862946093,0.02248567806106457,0.17980403298009653,2,0.6666666666666666,0,0,0
38,117863.0,1282860.0,548.9476981390599,90,4,4,2,19126.0,38,1090535.8690608994,42853.57200568497,4,1,1.0,0.5,0.7710476492911964,0.3635879962811482,0.01753816682478322,3,0.44277777777777777,0,0,0
68,121552.0,1284880.0,585.7429550806102,0,0,1,0,10133.0,135,793228.9101517467,20436.97463881209,0,0,0.0,0.0,0.5438200044368848,0.16813359417214108,0.01277437051312405,0,0.44999999999999996,1,0,1
41,101268.0,148494.0,662.0432109860179,90,4,3,7,11549.0,107,49724.122344126066,4099.694517697844,3,3,1.0,0.42857142857142855,0.040917929276874286,0.040483612964587475,0.2322615152475243,3,0.5654761904761905,1,1,1
36,129860.0,117314.0,675.1401543226781,120,1,1,0,13573.0,134,51976.24699164972,4879.594144546286,0,0,0.0,0.0,0.03335402676706307,0.03757580582586082,0.26113851587207865,4,0.7166666666666667,1,0,0
65,103310.0,1183079.0,624.4862356708597,90,0,2,10,4297.0,162,939582.744573501,33393.745866136625,2,4,1.0,0.4,0.7578991583369641,0.32323827186271054,0.004573306635117603,3,0.435,0,1,0
39,20670.0,810952.0,685.5247648878258,45,5,6,7,11589.0,142,419340.3978306543,15379.78153474911,5,6,0.8333333333333334,0.8571428571428571,1.6906160209266823,0.744062967331839,0.02763625937294046,1,0.4934523809523809,1,1,0
24,23715.0,497942.0,649.6316451364137,0,2,0,9,8190.0,153,339464.3485511396,17781.684196056183,0,5,0.0,0.5555555555555556,1.1928608776131127,0.749807471897794,0.024126244876540234,0,0.4611111111111111,1,0,1
44,173210.0,941732.0,756.3401511161694,45,2,6,5,24546.0,145,258878.90088469372,19945.113287529268,6,2,1.0,0.4,0.1245496318941813,0.1151498948532375,0.0948165335842991,1,0.4141666666666667,0,1,1
59,165298.0,392877.0,668.6861965182613,60,4,4,11,6837.0,112,176726.4685833778,10705.434841702532,0,8,0.0,0.7272727272727273,0.08909488145822383,0.0647644547526439,0.038686904428095734,2,0.6272727272727272,1,0,1
30,112867.0,337348.0,728.74316169812,60,3,5,3,25469.0,70,262994.101584585,11832.994242906512,1,2,0.2,0.6666666666666666,0.1941769971032166,0.10484015915109388,0.09684247611085141,2,0.5255555555555556,0,0,1
43,46283.0,582842.0,694.2249633606285,60,4,1,6,504.0,60,498771.5604425369,11453.540723784101,0,4,0.0,0.6666666666666666,0.8980467278167954,0.2474675523147614,0.0010104826336786808,2,0.5666666666666667,1,0,1
27,144597.0,1348809.0,581.8550272529162,45,6,6,0,12086.0,65,530386.0909969159,26303.315209161996,2,0,0.3333333333333333,0.0,0.30566914193523836,0.1819077519530972,0.022787173730900643,1,0.6319444444444444,0,0,0
54,41213.0,1162369.0,673.6539276983978,45,4,1,9,8049.0,109,324800.32073322445,27203.564323929055,0,4,0.0,0.4444444444444444,0.656751350167068,0.6600724121983126,0.02478137946979143,1,0.6263888888888889,0,0,0
44,79119.0,325638.0,593.5063130469921,15,0,3,6,13433.0,144,54565.736310824694,12593.146683761066,3,3,1.0,0.5,0.057472221496337475,0.15916716191763125,0.24618012892708233,0,0.2791666666666667,0,1,0
37,71437.0,864495.0,672.4315413248155,60,1,0,2,23129.0,66,212266.66879480614,45237.22132173703,0,0,0.0,0.0,0.24761522833033087,0.6332463754320174,0.10896199639500788,2,0.5466666666666666,0,0,0
32,20008.0,1332546.0,627.8408427938517,15,3,6,9,28706.0,104,1035056.3330547442,32729.283507888304,4,4,0.6666666666666666,0.4444444444444444,4.31101031693466,1.6358098514538337,0.027733756205597496,0,0.4347222222222223,0,1,0
48,148735.0,1429845.0,706.7374123439366,45,3,4,11,21836.0,74,703144.8149090434,62617.12840856195,0,1,0.0,0.09090909090909091,0.3939583907111324,0.4209979386732238,0.031054769283656934,1,0.5928535353535354,0,0,1
53,100577.0,1156335.0,586.0351963773659,30,2,1,0,15092.0,109,426359.34046339977,26104.424716074456,0,0,0.0,0.0,0.35326113364503464,0.25954666291572087,0.03539737157768578,1,0.575,0,0,1
67,69232.0,236848.0,681.0291277695607,90,1,4,10,15372.0,147,173312.35070652564,9573.538113932796,3,0,0.75,0.0,0.20861300976731093,0.13828198107714346,0.08869535227774858,3,0.5458333333333333,0,0,0
42,100164.0,399077.0,720.0690907794236,180,0,1,8,29790.0,74,297346.0633390166,8184.580477982908,1,7,1.0,0.875,0.2473826785230693,0.08171179743204053,0.1001862935916363,6,0.5269444444444444,0,1,0
28,18000.0,366981.0,743.5316898516297,60,1,3,4,29745.0,71,154726.65671794914,17914.266814637485,3,4,1.0,1.0,0.7163271144349497,0.9952370452576381,0.1922422459771886,2,0.3077777777777778,1,1,1
61,88792.0,268579.0,626.5082569481044,5,6,3,7,22884.0,36,221853.165354768,12005.57783600983,0,2,0.0,0.2857142857142857,0.20821429610284709,0.13521012969647975,0.10314930581858468,0,0.5111507936507936,0,0,0
51,102172.0,304223.0,681.2425680545023,90,2,6,9,4928.0,89,151300.51749460056,12847.050646929321,6,4,1.0,0.4444444444444444,0.12340344182245018,0.12573944570850448,0.032570939489191535,3,0.495,1,1,0
55,73034.0,508537.0,692.8902881038101,15,6,2,5,7926.0,82,175914.84079091236,7926.297227405709,2,5,1.0,1.0,0.20072254108921,0.1085288663828588,0.04505589161417387,0,0.4113888888888889,0,1,1
25,152521.0,855490.0,788.2988395679938,0,2,0,7,8171.0,28,705622.6256208369,41453.960558446815,0,4,0.0,0.5714285714285714,0.3855330444227554,0.2717918224929473,0.011579844102661541,0,0.3217460317460317,0,0,1
36,58471.0,627028.0,576.3068957474904,5,2,3,0,6872.0,174,165982.84443948054,13188.919869793925,0,0,0.0,0.0,0.23656006744009928,0.22556343947929614,0.04140186911006709,0,0.5263888888888889,0,0,1
58,40327.0,660183.0,616.2228218450266,180,3,6,11,29029.0,154,592156.1852886236,23990.76014327454,4,0,0.6666666666666666,0.0,1.2236553369715566,0.5949056498939802,0.04902253952789658,6,0.7999999999999999,1,0,0
61,103462.0,406387.0,850.0,30,6,5,11,4771.0,52,247871.34941676937,18720.812725265972,4,6,0.8,0.5454545454545454,0.19964765599670198,0.18094385112665493,0.019247888113031044,1,0.4493434343434344,1,0,0
42,161738.0,269004.0,660.8831901230818,5,3,0,2,25586.0,169,225024.69698561128,10831.935829014037,0,2,0.0,1.0,0.11594095439621037,0.06697211433932679,0.11370307500796697,0,0.45972222222222225,1,0,0
60,78795.0,1498392.0,547.6304333067708,5,0,0,5,24184.0,48,425733.40735752974,71564.68435228962,0,1,0.0,0.2,0.45025425403211894,0.9082389028782235,0.056805502180594304,0,0.3463888888888889,0,1,1
62,25553.0,918544.0,639.2214899656284,60,1,5,2,15856.0,75,405843.46303375287,39822.63506820811,5,2,1.0,1.0,1.3235349503442286,1.5584328676949128,0.0390692506945253,2,0.31666666666666665,0,1,0
39,175128.0,382995.0,486.1788744974947,90,6,5,4,9205.0,23,308287.30570833024,17327.860026636936,0,3,0.0,0.75,0.14669618113053035,0.09894397256085227,0.02985851129630626,3,0.6011111111111112,0,0,0
65,89976.0,1224484.0,696.8644498719307,30,1,3,3,7974.0,110,952435.0790414985,33000.76538921434,0,0,0.0,0.0,0.8821195643296532,0.3667729771185021,0.008372224181436901,1,0.5416666666666666,0,0,0
35,46014.0,1254420.0,736.6849332194753,0,5,0,10,20273.0,86,1008413.639537399,37838.616546237514,0,10,0.0,1.0,1.8262804790161673,0.8223283467257251,0.020103853423977944,0,0.5077777777777778,1,0,0
32,117729.0,1451830.0,616.1836336681873,30,6,1,8,20134.0,48,523158.75575801125,50898.42633252744,1,5,1.0,0.625,0.37031286241991584,0.4323355021492363,0.03848544973853605,1,0.4025000000000001,0,1,0
54,69785.0,280720.0,647.0493254423945,60,1,5,10,16204.0,51,172141.29896536816,10792.681777801197,0,2,0.0,0.2,0.20556148523485007,0.15465618367559214,0.094131972381944,2,0.49333333333333335,1,0,0
52,169922.0,977955.0,744.6557908758239,5,3,0,9,17053.0,168,432450.62108656147,41726.250027839174,0,7,0.0,0.7777777777777778,0.2120829071998532,0.245561198831459,0.039433403881241245,0,0.48194444444444445,1,0,0
27,65621.0,1471354.0,557.484917460775,15,4,1,8,24779.0,123,574682.6262227888,54768.19419011523,0,7,0.0,0.875,0.7298001988982044,0.8346138307876325,0.043117712054155356,0,0.525,0,1,1
61,107121.0,1219671.0,587.4900151460319,0,5,3,1,22634.0,27,658739.0655076647,52956.02838349197,1,1,0.3333333333333333,1.0,0.5124571477641053,0.49435711376379954,0.03435958361230156,0,0.32666666666666666,0,1,0
30,106016.0,377009.0,664.0319372799053,45,5,5,9,22524.0,24,258737.39750209413,7928.503758021713,3,9,0.6,1.0,0.2033792049486981,0.07478591682408045,0.08705351533041411,1,0.3675,0,0,1
60,57275.0,1344898.0,627.3365613773227,5,0,5,9,8410.0,12,724749.8952010166,41403.84768692638,2,8,0.4,0.8888888888888888,1.0544884260163196,0.7228956383575099,0.011604003057727111,0,0.1375,1,0,0
21,98883.0,661448.0,659.4293171768488,5,2,4,1,1912.0,44,213563.98518384804,34085.882381868476,4,0,1.0,0.0,0.17998036836787587,0.34470922587167135,0.008952820384738755,0,0.27416666666666667,1,1,0
60,35669.0,758932.0,591.5374776415434,5,6,3,1,13758.0,132,573463.7995670243,17970.207013177096,0,0,0.0,0.0,1.3397810413501554,0.5038046206279149,0.023991052286800915,0,0.6597222222222222,0,0,0
59,122285.0,859917.0,695.0019440145055,90,2,2,9,10152.0,11,759600.380906457,17840.211917389464,1,8,0.5,0.8888888888888888,0.5176434701083923,0.14589043560035544,0.013364922208023742,3,0.3522222222222222,1,0,0
59,140847.0,1168519.0,669.5536840374008,45,1,0,4,10048.0,44,493300.7737901217,52340.66941386447,0,4,0.0,1.0,0.2918656259334134,0.37161366173127197,0.02036891189689273,1,0.3686111111111111,1,0,0
53,171900.0,224414.0,718.4433345963123,180,4,1,3,15602.0,7,176600.2665853134,5111.514886944242,1,1,1.0,0.3333333333333333,0.08561191903495899,0.029735397829809437,0.08834641250364629,6,0.5655555555555555,0,1,0
44,70776.0,831917.0,694.0279650336205,30,1,1,4,27760.0,116,663784.1441297383,27706.480701195484,1,2,1.0,0.5,0.7815551224164246,0.3914671739176484,0.041820824202414564,1,0.3416666666666667,1,1,1
55,64205.0,1234389.0,694.4683050747217,5,1,0,10,24109.0,146,426346.76522082,53662.923803135476,0,5,0.0,0.5,0.5533665150959427,0.8358059933515377,0.05654786658815882,0,0.4430555555555556,1,1,0
34,106907.0,845330.0,578.7584851828921,5,5,5,4,20251.0,95,573962.4557492898,29074.282907763765,0,1,0.0,0.25,0.4474001201584008,0.27195864543728443,0.03528279558558053,0,0.601388888888889,1,0,1
59,130228.0,448294.0,714.481408615141,180,0,2,4,21420.0,163,382759.20076797495,22890.08843949356,1,2,0.5,0.5,0.24492889443128907,0.17576933101555395,0.055962077350518356,6,0.675,0,0,0
48,178779.0,131612.0,656.8393518736891,60,6,3,4,12413.0,123,92772.24011318364,6597.1749615325325,3,2,1.0,0.5,0.04324344587133819,0.036901285730049575,0.13380080059353897,2,0.5666666666666667,0,0,0
43,22056.0,846441.0,668.3381184645267,15,1,1,0,16482.0,137,146024.88869398148,29725.33417806234,1,0,1.0,0.0,0.5517201996961578,1.3477209910256773,0.11287116975340189,0,0.36250000000000004,0,1,0
45,56605.0,1069858.0,753.3785063473567,60,0,4,0,13011.0,56,645541.002303307,57166.76517895016,0,0,0.0,0.0,0.9503592178301489,1.009924303134885,0.020155187592385947,2,0.49111111111111105,0,0,0
48,60506.0,846969.0,629.6395110438174,60,5,0,4,24251.0,155,621538.5137494026,22589.471885989995,0,4,0.0,1.0,0.8560287598880036,0.3733426748750536,0.03901769474220826,2,0.6333333333333333,0,0,0
22,59371.0,1470062.0,774.58290299213,5,1,4,0,29709.0,113,902033.6252510804,35804.356175238514,3,0,0.75,0.0,1.2660974005983285,0.6030613628747792,0.032935579304741024,0,0.38055555555555554,1,0,1
27,93122.0,923828.0,781.1132709561165,90,2,5,9,13047.0,15,158487.20485496864,38625.060789401585,5,3,1.0,0.3333333333333333,0.14182757104924065,0.41477911545501156,0.08232210298578542,3,0.3416666666666667,0,1,0
33,159411.0,786931.0,732.694910615506,5,2,2,5,21626.0,14,188963.2327517149,29833.563973573695,2,0,1.0,0.0,0.09878199159808865,0.18714871604577912,0.11444554416792352,0,0.20750000000000002,1,1,0
26,23021.0,130454.0,611.3565432462805,5,3,1,6,1669.0,161,97999.2254290138,3267.126021899735,0,3,0.0,0.5,0.3547457590497582,0.1419193789105484,0.017030746852269237,0,0.5097222222222223,0,0,1
42,150166.0,859966.0,526.9594728061147,90,3,5,4,12053.0,49,443776.872453972,25665.907445657325,0,0,0.0,0.0,0.24627016793302745,0.1709169015999449,0.027160045392519015,3,0.6338888888888888,0,0,0
53,118062.0,294497.0,755.5184439981958,45,1,1,9,26116.0,83,255765.53691431042,7162.485171149536,0,1,0.0,0.1111111111111111,0.1805305241556064,0.06066715091349914,0.1021091438474359,1,0.5441666666666667,0,0,1
53,117662.0,1100868.0,687.7969542931755,5,1,1,5,20592.0,136,507760.16415275855,26948.242261058193,0,3,0.0,0.6,0.3596177781503789,0.2290309722855144,0.04055457961015812,0,0.43305555555555564,1,0,1
44,127886.0,283728.0,627.8361770424976,0,1,2,0,15797.0,138,217415.43191463704,8427.526458944625,2,0,1.0,0.0,0.1416726823855081,0.06589874152717752,0.07265813590546928,0,0.33333333333333337,1,1,0
62,36696.0,1364709.0,762.1493640628922,60,0,6,5,6412.0,4,241034.09242838825,70922.27188430875,3,5,0.5,1.0,0.5473668620294406,1.9326976205665127,0.026602045940472174,2,0.20055555555555554,0,1,1
48,138970.0,487974.0,619.6908783385534,90,4,3,2,24252.0,110,380991.0914804466,23615.948082516214,3,0,1.0,0.0,0.22846123352788766,0.16993558381316984,0.06365503168528724,3,0.6083333333333333,0,0,1
